HDI rank;Country;1990;2000;2010;2015;2018;2019;2020;2021
71;Antigua and Barbuda;..;..;0,79;0,79;0,8;0,8;0,79;0,79
72;Seychelles;..;0,74;0,78;0,8;0,8;0,8;0,79;0,79
73;Sri Lanka;0,64;0,69;0,74;0,76;0,78;0,78;0,78;0,78
74;Bosnia and Herzegovina;..;0,67;0,73;0,76;0,78;0,78;0,78;0,78
75;Saint Kitts and Nevis;..;..;0,76;0,77;0,78;0,78;0,78;0,78
76;Iran (Islamic Republic of);0,6;0,69;0,75;0,78;0,79;0,78;0,78;0,77
77;Ukraine;0,73;0,7;0,76;0,77;0,78;0,79;0,78;0,77
78;North Macedonia;..;0,68;0,74;0,76;0,78;0,78;0,77;0,77
79;China;0,48;0,58;0,69;0,73;0,76;0,76;0,76;0,77
80;Dominican Republic;0,58;0,65;0,71;0,74;0,76;0,77;0,76;0,77
80;Moldova (Republic of);0,65;0,64;0,73;0,75;0,77;0,77;0,77;0,77
80;Palau;..;0,74;0,77;0,78;0,78;0,78;0,77;0,77
83;Cuba;0,68;0,69;0,78;0,77;0,78;0,79;0,78;0,76
84;Peru;0,62;0,68;0,73;0,76;0,78;0,78;0,76;0,76
85;Armenia;0,66;0,66;0,75;0,77;0,77;0,78;0,76;0,76
86;Mexico;0,66;0,71;0,75;0,77;0,78;0,78;0,76;0,76
87;Brazil;0,61;0,68;0,72;0,75;0,76;0,77;0,76;0,75
88;Colombia;0,61;0,67;0,73;0,75;0,76;0,77;0,76;0,75
89;Saint Vincent and the Grenadines;..;0,68;0,73;0,76;0,78;0,77;0,76;0,75
90;Maldives;..;0,63;0,69;0,74;0,75;0,76;0,73;0,75
91;Algeria;0,59;0,65;0,72;0,74;0,75;0,75;0,74;0,75
91;Azerbaijan;..;0,62;0,73;0,75;0,76;0,76;0,73;0,75
91;Tonga;0,65;0,69;0,71;0,73;0,74;0,74;0,75;0,75
91;Turkmenistan;..;..;0,71;0,74;0,75;0,74;0,74;0,75
95;Ecuador;0,65;0,69;0,74;0,77;0,76;0,76;0,73;0,74
96;Mongolia;0,58;0,6;0,7;0,73;0,74;0,75;0,75;0,74
97;Egypt;0,57;0,63;0,68;0,71;0,73;0,74;0,73;0,73
97;Tunisia;0,58;0,66;0,72;0,73;0,74;0,75;0,74;0,73
99;Fiji;0,64;0,68;0,71;0,73;0,75;0,75;0,74;0,73
99;Suriname;..;..;0,72;0,74;0,76;0,76;0,74;0,73
101;Uzbekistan;..;0,61;0,67;0,7;0,72;0,73;0,72;0,73
102;Dominica;..;0,7;0,71;0,7;0,73;0,73;0,72;0,72
102;Jordan;0,62;0,68;0,73;0,72;0,72;0,73;0,72;0,72
104;Libya;0,67;0,71;0,74;0,7;0,72;0,72;0,7;0,72
105;Paraguay;0,6;0,65;0,69;0,72;0,73;0,73;0,73;0,72
106;Palestine, State of;..;..;0,69;0,71;0,72;0,73;0,72;0,72
106;Saint Lucia;0,69;0,7;0,73;0,74;0,75;0,74;0,72;0,72
108;Guyana;0,51;0,58;0,66;0,68;0,7;0,71;0,72;0,71
109;South Africa;0,63;0,63;0,68;0,72;0,73;0,74;0,73;0,71
110;Jamaica;0,66;0,66;0,7;0,71;0,72;0,72;0,71;0,71
111;Samoa;..;0,68;0,71;0,72;0,72;0,72;0,71;0,71
112;Gabon;0,61;0,64;0,66;0,7;0,71;0,71;0,71;0,71
112;Lebanon;..;..;0,77;0,75;0,75;0,75;0,73;0,71
114;Indonesia;0,53;0,6;0,66;0,7;0,71;0,72;0,71;0,71
115;Viet Nam;0,48;0,59;0,66;0,68;0,7;0,7;0,71;0,7
116;Philippines;0,6;0,63;0,67;0,7;0,71;0,72;0,71;0,7
117;Botswana;0,59;0,59;0,66;0,7;0,72;0,72;0,71;0,69
118;Bolivia (Plurinational State of);0,55;0,63;0,66;0,69;0,71;0,72;0,69;0,69
118;Kyrgyzstan;0,64;0,62;0,66;0,69;0,7;0,7;0,69;0,69
120;Venezuela (Bolivarian Republic of);0,66;0,68;0,76;0,77;0,74;0,72;0,7;0,69
121;Iraq;0,53;0,59;0,64;0,68;0,69;0,7;0,68;0,69
122;Tajikistan;0,63;0,56;0,64;0,66;0,67;0,68;0,66;0,69
123;Belize;0,59;0,64;0,71;0,71;0,71;0,71;0,69;0,68
123;Morocco;0,45;0,52;0,6;0,65;0,68;0,68;0,68;0,68
125;El Salvador;0,53;0,62;0,66;0,67;0,68;0,68;0,67;0,68
126;Nicaragua;0,49;0,57;0,61;0,65;0,66;0,66;0,65;0,67
127;Bhutan;..;..;0,58;0,63;0,66;0,67;0,67;0,67
128;Cabo Verde;..;0,57;0,64;0,66;0,67;0,68;0,66;0,66
129;Bangladesh;0,4;0,49;0,55;0,6;0,64;0,64;0,66;0,66
130;Tuvalu;0,56;0,6;0,62;0,64;0,64;0,64;0,64;0,64
131;Marshall Islands;..;..;..;0,64;0,64;0,64;0,64;0,64
132;India;0,43;0,49;0,58;0,63;0,65;0,65;0,64;0,63
133;Ghana;0,46;0,51;0,57;0,61;0,62;0,63;0,63;0,63
134;Micronesia (Federated States of);..;0,57;0,63;0,63;0,63;0,63;0,63;0,63
135;Guatemala;0,48;0,55;0,61;0,64;0,64;0,64;0,64;0,63
136;Kiribati;..;0,55;0,59;0,62;0,62;0,63;0,62;0,62
137;Honduras;0,52;0,56;0,6;0,61;0,62;0,63;0,62;0,62
138;Sao Tome and Principe;0,49;0,5;0,55;0,6;0,62;0,62;0,62;0,62
139;Namibia;0,58;0,55;0,59;0,63;0,64;0,64;0,63;0,62
140;Lao Peoples Democratic Republic;0,41;0,47;0,55;0,6;0,61;0,61;0,61;0,61
140;Timor-Leste;..;..;0,62;0,61;0,61;0,61;0,61;0,61
140;Vanuatu;..;..;0,59;0,6;0,6;0,61;0,61;0,61
143;Nepal;0,4;0,47;0,54;0,58;0,6;0,61;0,6;0,6
144;Eswatini (Kingdom of);0,55;0,47;0,5;0,58;0,61;0,62;0,61;0,6
145;Equatorial Guinea;..;0,51;0,58;0,6;0,6;0,61;0,6;0,6
146;Cambodia;0,38;0,43;0,54;0,57;0,59;0,6;0,6;0,59
146;Zimbabwe;0,51;0,45;0,51;0,58;0,6;0,6;0,6;0,59
148;Angola;..;0,38;0,51;0,58;0,6;0,6;0,59;0,59
149;Myanmar;0,33;0,41;0,51;0,56;0,59;0,6;0,6;0,59
150;Syrian Arab Republic;0,56;0,59;0,66;0,56;0,58;0,58;0,58;0,58
151;Cameroon;0,45;0,44;0,51;0,56;0,58;0,58;0,58;0,58
152;Kenya;0,47;0,48;0,55;0,56;0,58;0,58;0,58;0,58
153;Congo;0,52;0,49;0,56;0,59;0,58;0,57;0,57;0,57
154;Zambia;0,41;0,42;0,53;0,56;0,57;0,58;0,57;0,57
155;Solomon Islands;..;0,49;0,55;0,56;0,57;0,57;0,57;0,56
156;Comoros;..;0,46;0,52;0,54;0,56;0,56;0,56;0,56
156;Papua New Guinea;0,37;0,45;0,5;0,54;0,55;0,56;0,56;0,56
158;Mauritania;0,4;0,47;0,51;0,54;0,56;0,56;0,56;0,56
159;Cote dIvoire;0,43;0,46;0,47;0,51;0,54;0,55;0,55;0,55
160;Tanzania, United Republic of;0,37;0,4;0,49;0,52;0,54;0,55;0,55;0,55
161;Pakistan;0,4;0,44;0,51;0,53;0,55;0,55;0,54;0,54
162;Togo;0,41;0,45;0,48;0,51;0,53;0,54;0,54;0,54
163;Haiti;0,43;0,47;0,43;0,53;0,54;0,54;0,54;0,54
163;Nigeria;..;..;0,48;0,52;0,53;0,54;0,54;0,54
165;Rwanda;0,32;0,34;0,49;0,52;0,53;0,53;0,53;0,53
166;Benin;0,36;0,42;0,49;0,53;0,53;0,53;0,52;0,53
166;Uganda;0,33;0,39;0,5;0,52;0,52;0,53;0,52;0,53
168;Lesotho;0,48;0,45;0,47;0,5;0,52;0,52;0,52;0,51
169;Malawi;0,3;0,37;0,46;0,49;0,51;0,52;0,52;0,51
170;Senegal;0,37;0,39;0,47;0,51;0,51;0,51;0,51;0,51
171;Djibouti;..;0,36;0,46;0,49;0,51;0,51;0,51;0,51
172;Sudan;0,34;0,42;0,49;0,51;0,51;0,51;0,51;0,51
173;Madagascar;..;0,44;0,49;0,5;0,51;0,51;0,5;0,5
